Year,Anomaly (deg C),Color
1920,-0.2983550716666667,#1d7ec3
1921,-0.24044434880833335,#1d7ec3
1922,-0.3390137004166667,#2b8dd3
1923,-0.31768187058333336,#2b8dd3
1924,-0.31180170558333337,#2b8dd3
1925,-0.28214198670833335,#1d7ec3
1926,-0.12255500020833332,#0a619f
1927,-0.22911360325,#1371b4
1928,-0.20646580883333332,#1371b4
1929,-0.39244303141666664,#409fe2
1930,-0.176805416,#1371b4
1931,-0.10339767883333334,#0a619f
1932,-0.14546171208333333,#0a619f
1933,-0.32234441225,#2b8dd3
1934,-0.174336848375,#1371b4
1935,-0.20605923932791667,#1371b4
1936,-0.16952095150000002,#1371b4
1937,-0.01919894579166666,#04538c
1938,-0.012200735958333328,#04538c
1939,-0.040797204,#04538c
1940,0.0759358171125,#ffebeb
1941,0.03812930148750001,#ffebeb
1942,0.0014060668624999995,#ffebeb
1943,0.006421581970833333,#ffebeb
1944,0.1441051360375,#ffebeb
1945,0.043088352375,#ffebeb
1946,-0.1188146123625,#0a619f
1947,-0.09120560680833334,#0a619f
1948,-0.124661268125,#0a619f
1949,-0.14380222016666666,#0a619f
1950,-0.22662180814583333,#1371b4
1951,-0.06115396008333334,#04538c
1952,0.015354547566666668,#ffebeb
1953,0.07763074877083333,#ffebeb
1954,-0.11675023166666666,#0a619f
1955,-0.19730993695833332,#1371b4
1956,-0.263165616,#1d7ec3
1957,-0.03533491636666667,#04538c
1958,-0.01763256159166667,#04538c
1959,-0.04800481383333333,#04538c
1960,-0.11545958404166667,#0a619f
1961,-0.019999765654166668,#04538c
1962,-0.064042716125,#04538c
1963,-0.03681061079166666,#04538c
1964,-0.30586154020833334,#1d7ec3
1965,-0.204420473,#1371b4
1966,-0.1488976077916667,#0a619f
1967,-0.11753929835833334,#0a619f
1968,-0.1686475605,#1371b4
1969,-0.03138624159583333,#04538c
1970,-0.08506408782083334,#0a619f
1971,-0.20588904166666666,#1371b4
1972,-0.0937913104125,#0a619f
1973,0.049950160625,#ffebeb
1974,-0.17252656416666667,#1371b4
1975,-0.11075421441666666,#0a619f
1976,-0.21583689812499998,#1371b4
1977,0.10308849474333333,#ffebeb
1978,0.0052559720833333335,#ffebeb
1979,0.09085813815,#ffebeb
1980,0.19607204074999998,#ffebeb
1981,0.2500120401375,#ffebeb
1982,0.0342682812975,#ffebeb
1983,0.2238098395125,#ffebeb
1984,0.04799351620833334,#ffebeb
1985,0.049729739437500003,#ffebeb
1986,0.09568698086249999,#ffebeb
1987,0.2430264005416667,#ffebeb
1988,0.28215171181250004,#ffdfdf
1989,0.17925029266666667,#ffebeb
1990,0.36058238049999997,#ffdfdf
1991,0.338896535,#ffdfdf
1992,0.12489683558333332,#ffebeb
1993,0.16570718920833333,#ffebeb
1994,0.233549783375,#ffebeb
1995,0.37686614583333333,#ffdfdf
1996,0.27668938729166664,#ffebeb
1997,0.42230851375,#ffc8c8
1998,0.5773416908333333,#f99a9a
1999,0.3244849785833333,#ffdfdf
2000,0.33108475758333333,#ffdfdf
2001,0.48928034374999996,#ffabab
2002,0.5434664895833333,#ffabab
2003,0.5441701466666666,#ffabab
2004,0.46737072354166664,#ffc8c8
2005,0.6068625154166667,#f99a9a
2006,0.5725526879166667,#f99a9a
2007,0.5917013175,#f99a9a
2008,0.4656498327083333,#ffc8c8
2009,0.59678163875,#f99a9a
2010,0.6803713891666666,#eb6f6f
2011,0.5376977433333333,#ffabab
2012,0.5776070520833333,#f99a9a
2013,0.6235753549999999,#f18181
2014,0.6728716470833334,#f18181
2015,0.8251144325,#da4a4a
2016,0.9329270729166667,#b51b1b
2017,0.8451742425000001,#d03333
2018,0.7626540420833333,#e55f5f
2019,0.8910725837500001,#c22626
2020,0.9229205245833333,#b51b1b
2021,0.7619055604166666,#e55f5f
2022,0.80130531875,#da4a4a
2023,1.100312715,#830707
2024,1.1808074808333335,#830707
