Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%),Year,Color
1857-04,-0.64433539,-1.0941612,-0.38150573,1857,#86c9f9
1857-05,-0.6587118,-1.0393995,-0.42602813,1857,#86c9f9
1857-06,-0.30414527,-0.42330405,0.025211103,1857,#1d7ec3
1857-07,-0.411369515,-0.46320957,-0.044979725,1857,#409fe2
1857-08,-0.368974145,-0.4159698,-0.015758295,1857,#2b8dd3
1857-09,-0.37968944,-0.5275484,-0.14749284,1857,#2b8dd3
1857-10,-0.47263545,-0.74780726,-0.25381833,1857,#57adea
1857-11,-0.6851335249999999,-1.1195122,-0.39999437,1857,#86c9f9
1857-12,-0.27351702499999997,-0.5584406,0.3099873,1857,#1d7ec3
1858-01,-0.29548539,-0.56298417,0.31652713,1858,#1d7ec3
1858-02,-0.476901845,-1.0707057,-0.13391183,1858,#57adea
1858-03,-0.5476574999999999,-1.0983344,-0.033666752,1858,#6fbcf3
1858-04,-0.42799429499999997,-0.6335903,0.03392861,1858,#409fe2
1858-05,-0.5320950600000001,-0.6857614,-0.08951592,1858,#57adea
1858-06,-0.379521215,-0.5135078,-0.061101075,1858,#2b8dd3
1858-07,-0.335550805,-0.4671956,-0.013031365,1858,#2b8dd3
1858-08,-0.277549855,-0.5412146,-0.1293283,1858,#1d7ec3
1858-09,-0.28318588499999997,-0.5727621,-0.1799737,1858,#1d7ec3
1858-10,-0.28873289,-0.4263037,0.07405675,1858,#1d7ec3
1858-11,-0.36552476,-0.79475236,-0.05639917,1858,#2b8dd3
1858-12,-0.4549887,-0.89876825,-0.06820954,1858,#409fe2
1859-01,-0.38148466999999997,-0.71423334,0.03852134,1859,#2b8dd3
1859-02,-0.34352298000000003,-0.7468976,0.106889166,1859,#2b8dd3
1859-03,-0.31371727,-0.7523492,0.22467743,1859,#2b8dd3
1859-04,-0.157159465,-0.39310044,0.22652507,1859,#1371b4
1859-05,-0.152484772,-0.32124028,0.29053172,1859,#0a619f
1859-06,-0.24957644,-0.35656065,0.09954659,1859,#1d7ec3
1859-07,-0.31209001999999997,-0.45791388,-0.077306144,1859,#2b8dd3
1859-08,-0.244648455,-0.34165335,0.055690173,1859,#1d7ec3
1859-09,-0.393857985,-0.588469,-0.18587384,1859,#409fe2
1859-10,-0.25472045,-0.50172263,-0.05361697,1859,#1d7ec3
1859-11,-0.2875482,-0.59575963,0.09397367,1859,#1d7ec3
1859-12,-0.28437134,-0.9222646,-0.074197866,1859,#1d7ec3
1860-01,-0.390582975,-1.0396557,-0.11435132,1860,#409fe2
1860-02,-0.4682912,-1.1526681,-0.12817143,1860,#57adea
1860-03,-0.7864608850000001,-1.8738711,-0.6620454,1860,#c2e6ff
1860-04,-0.30610729999999997,-0.65011376,-0.01161961,1860,#1d7ec3
1860-05,-0.36362675,-0.5936158,0.036573246,1860,#2b8dd3
1860-06,-0.21145956500000002,-0.342674,0.13376713,1860,#1371b4
1860-07,-0.184764605,-0.31918013,0.12145292,1860,#1371b4
1860-08,-0.11423860000000001,-0.28789306,0.24198055,1860,#0a619f
1860-09,-0.1313197565,-0.3062701,0.27905285,1860,#0a619f
1860-10,-0.3459595,-0.5189791,-0.0248834,1860,#2b8dd3
1860-11,-0.604940035,-1.1590502,-0.48490062,1860,#6fbcf3
1860-12,-0.7742310099999999,-1.4814298,-0.67822367,1860,#c2e6ff
1861-01,-0.91803959,-1.8808676,-0.8842502,1861,#ddf1ff
1861-02,-0.624588605,-1.2921451,-0.030868271,1861,#86c9f9
1861-03,-0.41567023999999997,-1.1367296,0.34814483,1861,#409fe2
1861-04,-0.38623625,-1.0460591,-0.04961796,1861,#409fe2
1861-05,-0.66026997,-0.9035712,-0.12828343,1861,#86c9f9
1861-06,-0.251362285,-0.4611859,0.2569601,1861,#1d7ec3
1861-07,-0.29667267,-0.26656938,0.37389863,1861,#1d7ec3
1861-08,-0.041093122999999995,-0.19289714,0.4164998,1861,#04538c
1861-09,-0.270332295,-0.5325558,0.036517486,1861,#1d7ec3
